datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2015-04-22 11:59:44-03"	UFMT	CNMT	4019	"Ceiba pubiflora"	S	Plantae	Angiospermas			Malvaceae	Ceiba	pubiflora		"(A.St.-Hil.) K.Schum."	"Aécio Amaral Santos"	2002	05			1231		"Santos, A.A.; Balduíno, A.P.C.; Oliveira, A.C.; Rodrigues, A.S.; Pastore, J.F.; Chacon, R.G."	2002	05	17				Brasil	"Minas Gerais"	Unai	"Clube ASCEB."	0	0	-46.9061	-16.3575	97926												"Com cerca de 8 mts de altura."	
"2015-04-22 11:59:44-03"	UFMT	CNMT	4019	"Ceiba pubiflora"	S	Plantae	Angiospermas			Malvaceae	Ceiba	pubiflora		"(A.St.-Hil.) K.Schum."	"Aécio Amaral Santos"	2002	05			1231		"Santos, A.A.; Balduíno, A.P.C.; Oliveira, A.C.; Rodrigues, A.S.; Pastore, J.F.; Chacon, R.G."	2002	05	17				Brasil	"Minas Gerais"	Unai	"Clube ASCEB."	0	0	-46.9061	-16.3575	97926												"Com cerca de 8 mts de altura."	
"2014-10-09 16:50:54-03"	INPA	INPA	2290	"Ceiba samauma"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	samauma		"(C.Mart. & Zucc.) K.Schum."	"Gisn, P.E."	1990	01			4063		"Pires, J.M."	1952	04				"Southern America"	Brasil	Pará	Belém	"Introduzida no Museu Goeldi."	0	0	-48.5044	-1.45583	48462												"Material sem dados de coleta."	INPA0002290
"2014-10-09 16:50:54-03"	INPA	INPA	135603	Ceiba	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba				"Duarte, M.C."	2010	01	01		6157		"Silva, M.G. da"	1983	04	18			"Southern America"	Brasil	Rondônia	"Presidente Medici"	"Estrada para Costa Marques, linha 7ª. Mata de terra firme. Solo areno-argiloso."	0	0	-61.9014	-11.1753	32307												"Árvore de 20 m de altura x 70 cm de diâmetro. Flor branca."	INPA0135603
"2014-10-09 16:50:54-03"	INPA	INPA	162302	Ceiba	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba									10224		"Ferreira, C.A.C."	1991	06	02			"Southern America"	Brasil	Acre	Brasileia	"Estrada velha para Rio Branco km 31, ramal para a a fronteira Brasil-Colômbia."	0	0	-68.7481	-11.0161	107952												"Árvore de 12m de altura x 28cm de diâmetro, com sapopemas. Casca com acúleos. Frutos grandes imaturos esverdeados, sementes revestidas por uma paina branca. Frutos separados. Mata de terra firme, solo argiloso."	INPA0162302
"2014-10-09 16:50:54-03"	INPA	INPA	162302	Ceiba	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba									10224		"Ferreira, C.A.C."	1991	06	02			"Southern America"	Brasil	Acre	Brasileia	"Estrada velha para Rio Branco km 31, ramal para a a fronteira Brasil-Colômbia."	0	0	-68.7481	-11.0161	107952												"Árvore de 12m de altura x 28cm de diâmetro, com sapopemas. Casca com acúleos. Frutos grandes imaturos esverdeados, sementes revestidas por uma paina branca. Frutos separados. Mata de terra firme, solo argiloso."	INPA0162302
"2014-10-09 16:50:54-03"	INPA	INPA	92552	Ceiba	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba									1669		"Coêlho, L.F."	1980	05	06			"Southern America"	Brasil	Acre	"Rio Branco"	"Margem da estrada de Xapuri, km 45."	0	0	-67.81	-9.97472	178770												"Árvore de 20m de altura x 70cm de diâmetro; fruto verde. Solo argiloso. CARPOTECA"	INPA0092552
"2014-10-09 16:50:54-03"	INPA	INPA	92552	Ceiba	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba									1669		"Coêlho, L.F."	1980	05	06			"Southern America"	Brasil	Acre	"Rio Branco"	"Margem da estrada de Xapuri, km 45."	0	0	-67.81	-9.97472	178770												"Árvore de 20m de altura x 70cm de diâmetro; fruto verde. Solo argiloso. CARPOTECA"	INPA0092552
"2014-10-09 16:50:54-03"	INPA	INPA	199882	"Ceiba glaziovii"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	glaziovii		"(Kuntze) K.Schum."						s.n.		"Felix, L.P."	1995	10	17			"Southern America"	Brasil	Pernambuco	Caruarú		0	0	-35.9761	-8.28333	35136												"Árvore, tronco aculeado; flores de cálice verde-arroxeado, corola alva com centro de listras púrpuras. Terrenos ancapoeirados na margem da estrada. Ápice da floração."	INPA0199882
"2014-10-09 16:50:54-03"	INPA	INPA	153677	"Ceiba insignis"	S	Plantae	Dicotyledon		Malvales	Bombacaceae	Ceiba	insignis		"(Kunth) P.E.Gibbs & Semir"	"Gibbs, P.E."	1995	01	01		9024		"Ferreira, C.A.C."	1987	05	04			"Southern America"	Brasil	Rondônia	Ji-Paraná	"Linha 56, a 45 km da cidade."	0	0	-61.9517	-10.8853	137905												"Árvore de 20m x 45cm de diâm., fuste com acúleos. Flores vistosas com pétalas róseo amareladas, estames brancos. Mata de terra firme, solo argiloso."	INPA0153677
