species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,datasetName,dataset
Ceiba pubiflora,-46.636944,-11.786389,BRA,NA,1848739227,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-41.322778,-10.936944,BRA,NA,1848739132,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba ventricosa,-39.045278,-12.114167,BRA,NA,1848739128,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba ventricosa,-39.530278,-15.154444,BRA,NA,1848738957,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba erianthos,-39.562778,-12.778056,BRA,NA,1848369305,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba glaziovii,-37.238889,-8.565833,BRA,NA,1848739154,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-38.600556,-8.006111,BRA,NA,1848739152,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-39.140833,-4.907778,BRA,NA,1848739237,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba erianthos,-39.95,-11.402778,BRA,NA,1913600437,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UESB,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,GBIF
Ceiba rubriflora,-44.264444,-15.086667,BRA,NA,1848738973,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-35.717778,-6.425278,BRA,NA,1848738979,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-39.95,-11.402778,BRA,NA,1699426171,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba glaziovii,-37.241667,-8.566944,BRA,NA,1848738991,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-37.910556,-9.671111,BRA,NA,1848738989,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-44.264444,-15.086667,BRA,NA,1848739149,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-35.881389,-7.268056,BRA,NA,1848739151,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-35.735,-6.504444,BRA,NA,1848739235,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-36.855833,-7.513889,BRA,NA,1848738990,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-39.474167,-11.943889,BRA,NA,1848369207,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba speciosa,-49.2402,-25.4464,BRA,NA,1585201862,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,"Universidade Federal do Paraná, UFPR",EFC - Herbário Escola de Florestas Curitiba,GBIF
Ceiba pubiflora,-44.115278000000004,-19.421944,BRA,NA,1291042994,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.199444,-17.690278,BRA,NA,1291043213,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.196389,-17.708611,BRA,NA,1291043087,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.248889,-17.726389,BRA,NA,1291043047,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.196667,-17.708056,BRA,NA,1291043083,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.196667,-17.708333,BRA,NA,1291043035,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.199167,-17.690278,BRA,NA,1291043028,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-44.199444,-17.690278,BRA,NA,1291043222,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.075,-19.527778,BRA,NA,1291043127,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pentandra,-55.946556,-9.937056,BRA,NA,1889176607,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba pubiflora,-43.618889,-15.435556,BRA,NA,1291043071,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba jasminodora,-43.895833,-18.530556,BRA,NA,1801095898,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),HDJF - Herbário Dendrológico Jeanine Felfili,GBIF
Ceiba speciosa,-43.923333,-14.855556,BRA,NA,1291043207,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
